观赏点,经度,纬度,起报时间,预报日期,日出时间,日落时间,高云量W,中云量W,低云量W,总云量W,降水量W,高云量,中云量,低云量,总云量,降水量,出现概率,晚霞等级,晚霞描述,预计开始时间,预计结束时间
荣山寮,110.14,20.02,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:11:38,2026-07-21 19:20:01,0.8148237466812134,0.14923878014087677,0.10428685694932938,0.864062488079071,0.0,0.9942708611488342,0.06805555522441864,0.06649305671453476,0.9949652552604675,0.003111111233010888,48.0,3,绚丽晚霞,2026-07-21 18:52:38,2026-07-21 19:47:53
观海台,110.2467,20.0313,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:11:11,2026-07-21 19:19:37,0.831290066242218,0.1463140994310379,0.10032051056623459,0.8754006624221802,0.0,0.9918403029441833,0.07309027761220932,0.06718750298023224,0.9928819537162781,0.0,47.0,3,绚丽晚霞,2026-07-21 18:52:13,2026-07-21 19:47:29
天空之山,110.302,20.06,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:10:55,2026-07-21 19:19:26,0.8245993852615356,0.13645833730697632,0.11017628014087677,0.8711137771606445,0.0,0.9932291507720947,0.08437500149011612,0.078125,0.9946180582046509,0.0,47.0,3,绚丽晚霞,2026-07-21 18:52:03,2026-07-21 19:47:19
自在湾,110.305,20.039,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:10:56,2026-07-21 19:19:24,0.8463141322135925,0.1430288404226303,0.09627404063940048,0.885857343673706,0.0,0.9871527552604675,0.06875000149011612,0.0625,0.988368034362793,0.0,47.0,3,绚丽晚霞,2026-07-21 18:52:00,2026-07-21 19:47:16
云洞图书馆,110.312,20.049,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:10:54,2026-07-21 19:19:23,0.8463141322135925,0.1430288404226303,0.09627404063940048,0.885857343673706,0.0,0.9871527552604675,0.06875000149011612,0.0625,0.988368034362793,0.0,47.0,3,绚丽晚霞,2026-07-21 18:51:59,2026-07-21 19:47:15
长影,110.198218,19.981601,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:11:28,2026-07-21 19:19:43,0.831290066242218,0.1463140994310379,0.10032051056623459,0.8754006624221802,0.0,0.9918403029441833,0.07309027761220932,0.06718750298023224,0.9928819537162781,0.0,47.0,3,绚丽晚霞,2026-07-21 18:52:20,2026-07-21 19:47:34
东坡老码头,110.330387,20.050379,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:10:49,2026-07-21 19:19:19,0.8245993852615356,0.13645833730697632,0.11017628014087677,0.8711137771606445,0.0,0.9932291507720947,0.08437500149011612,0.078125,0.9946180582046509,0.0,47.0,3,绚丽晚霞,2026-07-21 18:51:55,2026-07-21 19:47:11
星海湾广场,110.320157,20.016893,2026-07-20 20:00:00,2026-07-21,2026-07-21 06:10:55,2026-07-21 19:19:18,0.8463141322135925,0.1430288404226303,0.09627404063940048,0.885857343673706,0.0,0.9871527552604675,0.06875000149011612,0.0625,0.988368034362793,0.0,47.0,3,绚丽晚霞,2026-07-21 18:51:54,2026-07-21 19:47:09
荣山寮,110.14,20.02,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:12:01,2026-07-22 19:19:46,0.7130208611488342,0.20969551801681519,0.12063301354646683,0.8194711804389954,0.0,0.7838541865348816,0.2074652761220932,0.10086805373430252,0.8401041626930237,0.3782222867012024,51.0,3,绚丽晚霞,2026-07-22 18:52:25,2026-07-22 19:47:35
观海台,110.2467,20.0313,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:11:35,2026-07-22 19:19:21,0.7317307591438293,0.20144230127334595,0.11654647439718246,0.8313301205635071,0.0,0.7309027910232544,0.20451389253139496,0.09513889253139496,0.7894096970558167,0.20133334398269653,50.0,3,绚丽晚霞,2026-07-22 18:52:00,2026-07-22 19:47:10
天空之山,110.302,20.06,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:11:18,2026-07-22 19:19:11,0.7273637652397156,0.19755609333515167,0.12275640666484833,0.8259214758872986,0.0,0.7793402671813965,0.1901041716337204,0.09479166567325592,0.8184027671813965,0.14311110973358154,50.0,3,绚丽晚霞,2026-07-22 18:51:49,2026-07-22 19:47:01
自在湾,110.305,20.039,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:11:20,2026-07-22 19:19:08,0.7496394515037537,0.1924278885126114,0.11105769127607346,0.8415464758872986,0.0,0.6729166507720947,0.1927083283662796,0.08749999850988388,0.7328125238418579,0.15755556523799896,50.0,2,治愈系晚霞,2026-07-22 18:51:47,2026-07-22 19:46:57
云洞图书馆,110.312,20.049,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:11:17,2026-07-22 19:19:07,0.7496394515037537,0.1924278885126114,0.11105769127607346,0.8415464758872986,0.0,0.6729166507720947,0.1927083283662796,0.08749999850988388,0.7328125238418579,0.1340000033378601,50.0,2,治愈系晚霞,2026-07-22 18:51:46,2026-07-22 19:46:57
长影,110.198218,19.981601,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:11:51,2026-07-22 19:19:28,0.7317307591438293,0.20144230127334595,0.11654647439718246,0.8313301205635071,0.0,0.7309027910232544,0.20451389253139496,0.09513889253139496,0.7894096970558167,0.3408888876438141,50.0,3,绚丽晚霞,2026-07-22 18:52:07,2026-07-22 19:47:16
东坡老码头,110.330387,20.050379,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:11:12,2026-07-22 19:19:03,0.7273637652397156,0.19755609333515167,0.12275640666484833,0.8259214758872986,0.0,0.7793402671813965,0.1901041716337204,0.09479166567325592,0.8184027671813965,0.1115555539727211,50.0,3,绚丽晚霞,2026-07-22 18:51:42,2026-07-22 19:46:53
星海湾广场,110.320157,20.016893,2026-07-20 20:00:00,2026-07-22,2026-07-22 06:11:18,2026-07-22 19:19:02,0.7496394515037537,0.1924278885126114,0.11105769127607346,0.8415464758872986,0.0,0.6729166507720947,0.1927083283662796,0.08749999850988388,0.7328125238418579,0.14555557072162628,50.0,2,治愈系晚霞,2026-07-22 18:51:41,2026-07-22 19:46:51
荣山寮,110.14,20.02,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:12:25,2026-07-23 19:19:29,0.871955156326294,0.12792468070983887,0.1837339699268341,0.918870210647583,0.0,0.0989583358168602,0.1614583283662796,0.08472222089767456,0.2663194537162781,0.10622221976518631,43.0,1,清新晚霞,2026-07-23 18:52:10,2026-07-23 19:47:15
观海台,110.2467,20.0313,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:11:58,2026-07-23 19:19:05,0.8805288672447205,0.11935096234083176,0.1759214699268341,0.9231570363044739,0.0,0.06753472238779068,0.14565971493721008,0.06996528059244156,0.21718749403953552,0.08111109584569931,43.0,1,清新晚霞,2026-07-23 18:51:46,2026-07-23 19:46:51
天空之山,110.302,20.06,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:11:42,2026-07-23 19:18:54,0.8866186141967773,0.10440704971551895,0.1647435873746872,0.923557698726654,0.001999999862164259,0.01892361044883728,0.09791667014360428,0.04357638955116272,0.12899304926395416,0.08044444024562836,44.0,1,清新晚霞,2026-07-23 18:51:35,2026-07-23 19:46:41
自在湾,110.305,20.039,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:11:43,2026-07-23 19:18:51,0.8885817527770996,0.11370192468166351,0.1661859005689621,0.926682710647583,0.0,0.03281249850988388,0.12031249701976776,0.05104166641831398,0.15868055820465088,0.06199999898672104,43.0,1,清新晚霞,2026-07-23 18:51:32,2026-07-23 19:46:38
云洞图书馆,110.312,20.049,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:11:40,2026-07-23 19:18:51,0.8885817527770996,0.11370192468166351,0.1661859005689621,0.926682710647583,0.0007999999797903001,0.03281249850988388,0.12031249701976776,0.05104166641831398,0.15868055820465088,0.060666657984256744,43.0,1,清新晚霞,2026-07-23 18:51:32,2026-07-23 19:46:38
长影,110.198218,19.981601,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:12:15,2026-07-23 19:19:11,0.8805288672447205,0.11935096234083176,0.1759214699268341,0.9231570363044739,0.0,0.06753472238779068,0.14565971493721008,0.06996528059244156,0.21718749403953552,0.10222223401069641,43.0,1,清新晚霞,2026-07-23 18:51:53,2026-07-23 19:46:57
东坡老码头,110.330387,20.050379,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:11:36,2026-07-23 19:18:46,0.8866186141967773,0.10440704971551895,0.1647435873746872,0.923557698726654,0.0007999999797903001,0.01892361044883728,0.09791667014360428,0.04357638955116272,0.12899304926395416,0.054444435983896255,44.0,1,清新晚霞,2026-07-23 18:51:27,2026-07-23 19:46:33
星海湾广场,110.320157,20.016893,2026-07-20 20:00:00,2026-07-23,2026-07-23 06:11:42,2026-07-23 19:18:45,0.8885817527770996,0.11370192468166351,0.1661859005689621,0.926682710647583,0.0,0.03281249850988388,0.12031249701976776,0.05104166641831398,0.15868055820465088,0.07399999350309372,43.0,1,清新晚霞,2026-07-23 18:51:27,2026-07-23 19:46:32
